epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.63153,1.99119,1.52364,0.55306,1.66593,1.53186,0.42308,0.42857,0.39537,0.13427,0.47797,0.49351,0.46096,0.31723,1.84892,1.14549,0.42017,1.7435,1.55937,0.000651163,0.000651163,0.000651163
2,13.1716,1.99256,1.38004,0.54005,1.49728,1.52749,0.00035,0.14286,0.00027,7e-05,0.19474,0.22078,0.13037,0.07008,3.39755,1.64547,0.44842,4.03636,2.20716,0.0012526,0.0012526,0.0012526
3,19.1057,1.89194,1.28676,0.44264,1.50316,1.47684,0.0277,0.05195,0.00995,0.00362,0.03319,0.06494,0.01712,0.00979,2.34919,1.51459,0.35653,6.07268,1.87959,0.00178803,0.00178803,0.00178803
4,24.8852,1.88012,1.2597,0.33449,1.47636,1.46948,0.66986,0.32468,0.33682,0.10186,0.69665,0.33766,0.38432,0.25741,2.0591,1.17924,0.13225,2.93984,1.81503,0.001703,0.001703,0.001703
5,31.0281,1.81792,1.21441,0.23643,1.45716,1.42679,0.51721,0.29224,0.2847,0.08895,0.56255,0.3174,0.33946,0.23014,2.13971,1.38524,0.08636,45.3759,1.82333,0.001604,0.001604,0.001604
6,36.9804,1.77336,1.00858,0.18089,1.33498,1.46972,0.53254,0.4026,0.33733,0.1005,0.72938,0.55844,0.53825,0.40432,2.09338,1.14273,0.06711,3.71232,1.94553,0.001505,0.001505,0.001505
7,44.6322,1.68219,1.10741,0.19159,1.23072,1.38116,0.53506,0.2987,0.34038,0.12851,0.69782,0.37662,0.47901,0.37263,2.07851,1.16509,0.06323,2.18496,1.72224,0.001406,0.001406,0.001406
8,50.4687,1.67158,0.9671,0.1873,1.18342,1.37203,0.41262,0.44156,0.38328,0.12758,0.4733,0.50649,0.48023,0.38805,1.996,0.92942,0.07761,2.25991,1.7619,0.001307,0.001307,0.001307
9,57.8851,1.72616,0.9173,0.15665,1.14205,1.42344,0.42083,0.42857,0.3583,0.13171,0.47234,0.46753,0.43424,0.34373,2.00367,0.98538,0.03722,2.18275,1.68848,0.001208,0.001208,0.001208
10,63.9654,1.66901,0.92266,0.14153,1.10464,1.36721,0.81577,0.41558,0.47798,0.16906,0.72136,0.47074,0.5484,0.43676,1.904,0.95969,0.03734,1.93374,1.6556,0.001109,0.001109,0.001109
11,72.0748,1.64364,0.76369,0.05966,1.0616,1.44893,0.61212,0.48052,0.43798,0.17511,0.70373,0.5553,0.6172,0.48104,1.93385,0.97856,0.04215,1.49846,1.70381,0.00101,0.00101,0.00101
12,79.4073,1.54386,0.65789,0.05034,0.98734,1.36998,0.71896,0.35065,0.39963,0.1501,0.76248,0.41558,0.481,0.40778,1.8838,0.91367,0.07394,1.98051,1.61592,0.000911,0.000911,0.000911
13,85.4193,1.54081,0.7001,0.06675,0.94409,1.39755,0.75787,0.4026,0.52215,0.18848,0.71998,0.49351,0.59562,0.49462,1.89319,0.92909,0.05401,1.69498,1.6088,0.000812,0.000812,0.000812
14,92.6477,1.50058,0.64277,0.06546,0.87804,1.35561,0.79771,0.46099,0.52687,0.18504,0.78503,0.56914,0.67362,0.50753,2.06394,1.02732,0.02903,1.39579,1.74822,0.000713,0.000713,0.000713
15,99.8878,1.45139,0.58916,0.05027,0.84014,1.35722,0.73829,0.5974,0.64149,0.25375,0.8101,0.63636,0.72908,0.55176,1.86634,0.9273,0.01766,1.21739,1.60209,0.000614,0.000614,0.000614
16,107.172,1.32384,0.53506,0.08102,0.75097,1.25844,0.62449,0.64935,0.68044,0.23578,0.77444,0.61039,0.74464,0.57375,1.88156,0.92827,0.0257,1.30668,1.66455,0.000515,0.000515,0.000515
17,114.529,1.2997,0.54571,0.04103,0.78506,1.23388,0.6729,0.64935,0.66093,0.24421,0.71406,0.68831,0.71512,0.53979,1.89031,0.93409,0.02012,1.23092,1.64582,0.000416,0.000416,0.000416
18,120.475,1.34395,0.53502,0.07766,0.74801,1.25494,0.67959,0.57143,0.59114,0.2154,0.76043,0.64935,0.72446,0.55579,1.95764,0.94514,0.02249,1.32467,1.73736,0.000317,0.000317,0.000317
19,126.004,1.1545,0.53424,0.05196,0.68897,1.12789,0.71803,0.48052,0.58073,0.21349,0.7793,0.58442,0.68828,0.55549,1.95882,0.86467,0.02616,1.34388,1.742,0.000218,0.000218,0.000218
20,131.795,1.26776,0.52354,0.0463,0.71407,1.21028,0.83142,0.51249,0.6505,0.23299,0.83388,0.54545,0.70279,0.56043,1.90794,0.8787,0.02743,1.35211,1.72591,0.000119,0.000119,0.000119
