epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.223,1.9344,2.12304,0,2.60678,1.49654,0.20342,0.17659,0.1011,0.04024,0.14079,0.11357,0.04618,0.015,2.27809,4.56441,0,58.5525,1.83356,0.0702326,0.00330749,0.00330749
2,242.972,1.70265,1.35327,0,1.71022,1.36682,0.23465,0.37258,0.25578,0.12539,0.2464,0.40097,0.27293,0.19189,1.61391,1.46074,0,259.835,1.32486,0.0402318,0.0066401,0.0066401
3,255.508,1.67659,1.14869,0,1.54549,1.32524,0.66747,0.54432,0.57178,0.3143,0.67924,0.57064,0.59906,0.40762,1.40954,1.19005,0,4.83149,1.24911,0.0102282,0.00996979,0.00996979
4,268.182,1.56777,1.05334,0,1.4371,1.28733,0.80325,0.74654,0.81882,0.5224,0.8025,0.76259,0.83794,0.68594,1.0124,0.63535,0,3.51836,0.97763,0.00999014,0.00999014,0.00999014
5,280.849,1.42931,0.92752,0,1.2782,1.20257,0.85302,0.74931,0.84199,0.56579,0.85459,0.75069,0.84195,0.69396,1.05626,0.85113,0,2.58875,1.04701,0.00998248,0.00998248,0.00998248
6,298.007,1.44872,0.9287,0,1.20602,1.21772,0.80442,0.66651,0.744,0.49258,0.79779,0.6669,0.73613,0.59282,1.03559,0.72051,0,68.3255,0.99375,0.00997264,0.00997264,0.00997264
7,309.813,1.37929,0.84911,0,1.15164,1.18662,0.89602,0.8054,0.88406,0.59294,0.88738,0.81308,0.88393,0.78001,1.02783,0.50106,0,2.40058,0.99289,0.00996061,0.00996061,0.00996061
8,321.255,1.32579,0.80265,0,1.08274,1.16715,0.87923,0.8705,0.90904,0.64466,0.87955,0.87673,0.91207,0.78477,0.8871,0.55016,0,1.88288,0.91152,0.00994642,0.00994642,0.00994642
9,345.96,1.30489,0.78304,0,1.06939,1.13237,0.88732,0.83434,0.91188,0.64865,0.88203,0.84349,0.91596,0.81685,0.90407,0.43886,0,2.79792,0.90127,0.00993005,0.00993005,0.00993005
10,357.067,1.23494,0.70768,0,0.97551,1.10982,0.92604,0.85526,0.91415,0.66379,0.92577,0.85501,0.9124,0.83731,0.88274,0.38823,0,1.64053,0.89154,0.00991152,0.00991152,0.00991152
11,367.988,1.24997,0.69156,0,0.92808,1.11912,0.90269,0.86724,0.92661,0.67558,0.90589,0.87331,0.93182,0.8427,0.81799,0.44103,0,1.00168,0.86369,0.00989085,0.00989085,0.00989085
12,380.373,1.25372,0.76347,0,0.98935,1.11205,0.90427,0.7777,0.88679,0.60721,0.89749,0.77609,0.88346,0.78181,0.95929,0.59087,0,2.95838,0.93142,0.00986803,0.00986803,0.00986803
13,395.269,1.2014,0.65363,0,0.89196,1.09764,0.89008,0.84211,0.88926,0.6349,0.89066,0.84765,0.89269,0.81452,0.83296,0.38978,0,3.38933,0.87022,0.00984307,0.00984307,0.00984307
14,406.321,1.15854,0.70828,0,0.87984,1.07779,0.93031,0.82281,0.90569,0.6695,0.93331,0.82687,0.90765,0.82936,0.84752,0.41546,0,0.96079,0.87411,0.009816,0.009816,0.009816
