epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4641,1.80402,2.11091,0.43857,3.14383,1.43222,0.73942,0.56903,0.65796,0.4077,0.74257,0.58582,0.68286,0.50629,1.43119,1.17416,0.33493,1.60566,1.33227,0.000659176,0.000659176,0.000659176
2,22.1803,1.41998,1.14948,0.1912,1.24395,1.19581,0.72124,0.63717,0.69584,0.40178,0.74859,0.65112,0.73093,0.52255,1.50256,0.99559,0.29152,1.606,1.39695,0.00127334,0.00127334,0.00127334
3,32.6705,1.38706,1.02094,0.17735,1.19948,1.18491,0.83603,0.61194,0.71985,0.47292,0.85926,0.62648,0.74685,0.58599,1.30878,0.92617,0.23563,1.52593,1.3057,0.0018347,0.0018347,0.0018347
4,43.2165,1.31925,0.90018,0.15969,1.08533,1.16016,0.75946,0.69507,0.77685,0.50489,0.77373,0.70813,0.80287,0.64778,1.23781,0.64323,0.21525,2.43661,1.29095,0.0017624,0.0017624,0.0017624
5,53.678,1.24397,0.77867,0.13172,0.98698,1.11502,0.80339,0.76866,0.82636,0.53788,0.80507,0.78593,0.85416,0.71383,1.22579,0.52926,0.28121,2.51791,1.29673,0.0016832,0.0016832,0.0016832
6,63.952,1.19656,0.78612,0.13764,0.90415,1.09673,0.81527,0.81716,0.83412,0.56305,0.82612,0.83582,0.86275,0.74503,1.23811,0.53032,0.23563,2.3368,1.27509,0.001604,0.001604,0.001604
7,74.2672,1.15156,0.70919,0.13233,0.88407,1.08516,0.82506,0.72575,0.81012,0.51833,0.84034,0.73881,0.82701,0.7127,1.23782,0.52444,0.24474,1.39797,1.19427,0.0015248,0.0015248,0.0015248
8,84.1265,1.1362,0.68655,0.11872,0.83624,1.06453,0.86875,0.78918,0.84568,0.5658,0.88532,0.80784,0.88775,0.78997,1.32657,0.46291,0.27355,1.47836,1.29672,0.0014456,0.0014456,0.0014456
9,94.5067,1.11606,0.65407,0.11748,0.8105,1.06621,0.93071,0.90213,0.92485,0.67235,0.94282,0.9228,0.94598,0.85968,1.00742,0.37691,0.22885,1.09076,1.11914,0.0013664,0.0013664,0.0013664
10,104.84,1.08295,0.59563,0.12191,0.75081,1.05452,0.87553,0.89366,0.92041,0.66029,0.88766,0.90485,0.94195,0.85218,1.08497,0.41579,0.24916,1.0366,1.14481,0.0012872,0.0012872,0.0012872
11,114.486,1.0422,0.58304,0.10389,0.72452,1.04067,0.842,0.80536,0.83516,0.58609,0.85989,0.82649,0.86675,0.76288,1.20255,0.53855,0.25894,1.19047,1.19604,0.001208,0.001208,0.001208
12,124.423,0.99961,0.5535,0.10217,0.69644,1.01828,0.90654,0.91418,0.93132,0.6719,0.91346,0.92164,0.9506,0.86538,1.07332,0.37657,0.25822,0.91251,1.12596,0.0011288,0.0011288,0.0011288
13,134.595,0.99038,0.58832,0.11863,0.66708,1.00622,0.88545,0.82198,0.87651,0.65899,0.8975,0.83317,0.89733,0.821,1.05902,0.42665,0.25635,1.0274,1.13092,0.0010496,0.0010496,0.0010496
14,144.213,0.94497,0.52566,0.0884,0.6778,0.98631,0.91223,0.93097,0.94713,0.71446,0.92685,0.9459,0.96555,0.90293,1.05076,0.30805,0.22273,0.98037,1.12502,0.0009704,0.0009704,0.0009704
15,154.521,0.94885,0.46358,0.10358,0.64813,0.99734,0.92684,0.92351,0.9518,0.73871,0.93934,0.93657,0.96828,0.90657,0.91885,0.28366,0.27913,0.79991,1.04867,0.0008912,0.0008912,0.0008912
16,166.419,0.91311,0.45385,0.04269,0.60971,1.01251,0.90805,0.91978,0.93394,0.72022,0.91861,0.93097,0.9564,0.87285,0.8585,0.31362,0.29295,1.13004,1.03977,0.000812,0.000812,0.000812
17,175.092,0.87994,0.40957,0.02265,0.5978,0.99883,0.91787,0.91745,0.93713,0.738,0.93088,0.92972,0.95899,0.89331,0.84766,0.28155,0.2723,1.08694,1.02528,0.0007328,0.0007328,0.0007328
18,183.876,0.89177,0.41222,0.02818,0.58336,0.99917,0.93196,0.8689,0.93469,0.72074,0.94596,0.88178,0.95347,0.88797,0.94049,0.31588,0.29054,0.91248,1.06576,0.0006536,0.0006536,0.0006536
19,192.81,0.84112,0.38481,0.02885,0.55162,0.97055,0.93926,0.93097,0.94669,0.73668,0.94727,0.93846,0.96511,0.8988,0.87234,0.27557,0.31712,0.79311,1.03978,0.0005744,0.0005744,0.0005744
20,202.391,0.85137,0.38483,0.02289,0.53827,0.98533,0.93979,0.93193,0.95532,0.76326,0.94918,0.94087,0.97185,0.91427,0.80364,0.27599,0.31119,0.69855,1.00356,0.0004952,0.0004952,0.0004952
21,212.49,0.80421,0.3819,0.03377,0.50902,0.97694,0.94425,0.9291,0.95235,0.75516,0.95419,0.9403,0.96922,0.90487,0.82512,0.27419,0.28155,0.70193,1.02195,0.000416,0.000416,0.000416
22,221.979,0.78025,0.32095,0.02713,0.50377,0.9544,0.92729,0.92794,0.95891,0.77944,0.93347,0.94234,0.97473,0.91331,0.77187,0.2561,0.28925,0.67796,0.99007,0.0003368,0.0003368,0.0003368
23,231.752,0.7503,0.32502,0.02034,0.47853,0.95055,0.91881,0.92894,0.9565,0.78554,0.92988,0.94013,0.97099,0.91899,0.7402,0.24874,0.32282,0.62891,0.97518,0.0002576,0.0002576,0.0002576
24,241.67,0.73577,0.31768,0.02027,0.47035,0.93564,0.92353,0.93657,0.95613,0.78683,0.93343,0.9459,0.97251,0.91707,0.74334,0.25127,0.32663,0.60072,0.97175,0.0001784,0.0001784,0.0001784
