epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7068,1.90338,2.22466,0.46034,3.3066,1.41522,0.81636,0.70496,0.79359,0.49984,0.81813,0.72177,0.80864,0.5301,1.2812,1.25787,0.30301,1.97642,1.19082,0.000659176,0.000659176,0.000659176
2,23.6766,1.4346,1.19407,0.19488,1.21857,1.18029,0.00203,0.05037,0.00076,0.00022,0.00565,0.13993,0.0037,0.00154,3.69796,2.37772,0.29356,49.6576,2.64932,0.00131709,0.00131709,0.00131709
3,33.9652,1.41086,1.05823,0.17799,1.15526,1.16594,0.76918,0.84142,0.85659,0.47867,0.78174,0.85075,0.8738,0.68579,1.37406,0.67697,0.23267,2.4021,1.33488,0.00196621,0.00196621,0.00196621
4,44.994,1.36973,0.9428,0.16213,1.10288,1.16404,0.83036,0.8097,0.86378,0.54719,0.84639,0.82238,0.8845,0.74543,1.23445,0.58637,0.25718,2.02301,1.20632,0.0019604,0.0019604,0.0019604
5,55.6886,1.31515,0.85148,0.13739,1.06393,1.12924,0.75594,0.61194,0.71562,0.46399,0.78439,0.625,0.7447,0.57471,1.23926,0.88771,0.24927,2.17667,1.21944,0.0019472,0.0019472,0.0019472
6,65.519,1.26084,0.84713,0.14075,0.96292,1.1106,0.74265,0.47201,0.52658,0.29494,0.81507,0.52425,0.61341,0.49224,1.94418,1.10442,0.26321,2.29085,1.51793,0.001934,0.001934,0.001934
7,75.4075,1.22307,0.72492,0.13248,0.93487,1.09882,0.82862,0.8389,0.87195,0.60885,0.83947,0.8488,0.88942,0.77986,1.09776,0.57287,0.23404,1.40086,1.13312,0.0019208,0.0019208,0.0019208
8,86.0961,1.20648,0.71057,0.11727,0.90624,1.07161,0.84939,0.81157,0.87111,0.55443,0.86252,0.85442,0.9125,0.79519,1.23958,0.49998,0.25233,1.25883,1.1874,0.0019076,0.0019076,0.0019076
9,95.9731,1.19287,0.73008,0.12136,0.84562,1.08159,0.90339,0.81995,0.87195,0.60815,0.91928,0.83582,0.90602,0.8141,1.10154,0.45702,0.24448,1.43668,1.13676,0.0018944,0.0018944,0.0018944
10,106.14,1.15671,0.63279,0.12354,0.79341,1.05792,0.85153,0.89179,0.91619,0.61085,0.8691,0.90427,0.94239,0.84495,1.15859,0.42945,0.26162,1.08043,1.1733,0.0018812,0.0018812,0.0018812
11,116.813,1.1019,0.64907,0.09977,0.77712,1.04637,0.9151,0.75933,0.88894,0.64018,0.92327,0.76327,0.9052,0.77821,1.1135,0.59185,0.25849,1.56195,1.13837,0.001868,0.001868,0.001868
12,126.853,1.09799,0.62864,0.10359,0.79611,1.04499,0.88188,0.73823,0.82628,0.58407,0.90035,0.75851,0.85347,0.76526,1.11179,0.44375,0.27324,1.31629,1.12852,0.0018548,0.0018548,0.0018548
13,136.828,1.08787,0.67701,0.11515,0.75844,1.04379,0.90474,0.86007,0.89733,0.65959,0.92349,0.87819,0.93082,0.82232,1.00404,0.4788,0.25304,1.12671,1.09865,0.0018416,0.0018416,0.0018416
14,147.438,1.05903,0.59665,0.09312,0.76162,1.03046,0.89808,0.83845,0.89374,0.63854,0.90879,0.85514,0.92339,0.81608,1.01017,0.40794,0.28048,1.02889,1.08021,0.0018284,0.0018284,0.0018284
15,157.349,1.06493,0.56002,0.10317,0.73654,1.02486,0.83874,0.83955,0.89682,0.60624,0.88591,0.85471,0.92608,0.83753,1.18447,0.41757,0.27075,1.0019,1.13247,0.0018152,0.0018152,0.0018152
16,167.293,1.05633,0.62878,0.11077,0.73335,1.01758,0.91916,0.89091,0.92853,0.66192,0.93066,0.90147,0.94451,0.85212,1.02122,0.40966,0.25863,1.20417,1.11348,0.001802,0.001802,0.001802
17,177.799,1.05018,0.57259,0.10769,0.70756,1.01874,0.90275,0.84142,0.90783,0.66968,0.91401,0.85268,0.93415,0.85955,0.95965,0.38539,0.26861,0.90436,1.06857,0.0017888,0.0017888,0.0017888
18,188.309,1.07066,0.57551,0.10028,0.73281,1.02204,0.89552,0.89552,0.92647,0.6903,0.90322,0.90485,0.94204,0.85593,0.89657,0.33778,0.34215,0.78712,1.01988,0.0017756,0.0017756,0.0017756
19,198.448,0.96975,0.47932,0.10339,0.67243,0.99198,0.94409,0.88203,0.93978,0.72634,0.95224,0.88806,0.95369,0.88161,0.88103,0.30731,0.31812,0.72257,1.01278,0.0017624,0.0017624,0.0017624
20,208.755,1.00499,0.58661,0.10436,0.66259,1.0039,0.9219,0.76306,0.88489,0.6769,0.89156,0.82276,0.90993,0.83307,0.91555,0.36013,0.2655,1.03662,1.02937,0.0017492,0.0017492,0.0017492
21,218.615,1.01472,0.57255,0.10426,0.69014,1.00557,0.91538,0.9082,0.9344,0.71652,0.92559,0.91978,0.95169,0.87127,0.88849,0.32695,0.35413,0.76694,1.0198,0.001736,0.001736,0.001736
22,228.689,0.96759,0.4717,0.08798,0.63743,0.98946,0.9343,0.8755,0.94384,0.72931,0.94874,0.89788,0.96251,0.88839,0.90989,0.34192,0.31083,0.73887,1.03113,0.0017228,0.0017228,0.0017228
23,239.129,0.92501,0.49584,0.09271,0.60694,0.97717,0.91957,0.8694,0.92692,0.71676,0.93357,0.88246,0.94703,0.87851,0.84672,0.29039,0.31294,0.78911,1.00166,0.0017096,0.0017096,0.0017096
24,249.056,0.96878,0.48748,0.08869,0.63176,0.98444,0.89913,0.8481,0.88703,0.6616,0.92091,0.86892,0.91855,0.85112,0.93453,0.31779,0.31174,0.9708,1.04652,0.0016964,0.0016964,0.0016964
25,259.31,0.94648,0.4914,0.09099,0.61996,0.98061,0.89903,0.91368,0.94363,0.70264,0.90889,0.92537,0.96051,0.90622,0.89461,0.28306,0.34278,0.70139,1.02711,0.0016832,0.0016832,0.0016832
26,269.244,0.94597,0.44886,0.08632,0.62337,0.98299,0.87155,0.69626,0.75273,0.52715,0.88885,0.71614,0.79368,0.72332,1.14762,0.52307,0.36494,1.60165,1.15087,0.00167,0.00167,0.00167
27,279.429,0.93272,0.45292,0.07689,0.6089,0.98061,0.86877,0.91418,0.92061,0.69451,0.87844,0.92537,0.94021,0.86648,0.92655,0.33363,0.34194,0.78354,1.04156,0.0016568,0.0016568,0.0016568
28,289.557,0.91521,0.46053,0.08184,0.58271,0.9603,0.92731,0.86007,0.92495,0.69867,0.93914,0.87127,0.94493,0.86246,0.94776,0.35148,0.32707,0.76769,1.03724,0.0016436,0.0016436,0.0016436
